ticker,is_active
AADI,True
ACES,True
ADMR,True
ADRO,True
AKRA,True
AMMN,True
AMRT,True
ANTM,True
ARCI,True
ARTO,True
ASII,True
BBCA,True
BBNI,True
BBRI,True
BBTN,True
BBYB,True
BFIN,True
BIPI,True
BKSL,True
BMRI,True
BNBR,True
BRIS,True
BRMS,True
BRPT,True
BSDE,True
BUKA,True
BULL,True
BUMI,True
BUVA,True
CBDK,True
CMRY,True
COIN,True
CPIN,True
CTRA,True
CUAN,True
DEWA,True
DSNG,True
ELSA,True
EMAS,True
EMTK,True
ENRG,True
ERAA,True
ESSA,True
EXCL,True
GGRM,True
GOTO,True
HEAL,True
HRTA,True
HRUM,True
ICBP,True
IMPC,True
INCO,True
INDF,True
INDY,True
INET,True
INKP,True
ISAT,True
ITMG,True
JPFA,True
JSMR,True
KIJA,True
KLBF,True
KPIG,True
LSIP,True
MAPA,True
MAPI,True
MBMA,True
MDKA,True
MEDC,True
MIKA,True
MINA,True
MYOR,True
NCKL,True
PANI,True
PGAS,True
PGEO,True
PNLF,True
PSAB,True
PTBA,True
PTRO,True
PWON,True
RAJA,True
RATU,True
RMKE,True
SCMA,True
SGER,True
SMGR,True
SMIL,True
SMRA,True
SSIA,True
TAPG,True
TINS,True
TLKM,True
TOBA,True
TOWR,True
TPIA,True
UNTR,True
UNVR,True
WIFI,True
WIRG,True
