period_start,period_end,ticker,is_active,source_verified
2023-08-31,2026-02-01,AADI,True,False
2023-08-31,2026-02-01,ACES,True,False
2023-08-31,2026-02-01,ADMR,True,False
2023-08-31,2026-02-01,ADRO,True,False
2023-08-31,2026-02-01,AKRA,True,False
2023-08-31,2026-02-01,AMMN,True,False
2023-08-31,2026-02-01,AMRT,True,False
2023-08-31,2026-02-01,ANTM,True,False
2023-08-31,2026-02-01,ARCI,True,False
2023-08-31,2026-02-01,ARTO,True,False
2023-08-31,2026-02-01,ASII,True,False
2023-08-31,2026-02-01,BBCA,True,False
2023-08-31,2026-02-01,BBNI,True,False
2023-08-31,2026-02-01,BBRI,True,False
2023-08-31,2026-02-01,BBTN,True,False
2023-08-31,2026-02-01,BBYB,True,False
2023-08-31,2026-02-01,BFIN,True,False
2023-08-31,2026-02-01,BIPI,True,False
2023-08-31,2026-02-01,BKSL,True,False
2023-08-31,2026-02-01,BMRI,True,False
2023-08-31,2026-02-01,BNBR,True,False
2023-08-31,2026-02-01,BRIS,True,False
2023-08-31,2026-02-01,BRMS,True,False
2023-08-31,2026-02-01,BRPT,True,False
2023-08-31,2026-02-01,BSDE,True,False
2023-08-31,2026-02-01,BUKA,True,False
2023-08-31,2026-02-01,BULL,True,False
2023-08-31,2026-02-01,BUMI,True,False
2023-08-31,2026-02-01,BUVA,True,False
2023-08-31,2026-02-01,CBDK,True,False
2023-08-31,2026-02-01,CMRY,True,False
2023-08-31,2026-02-01,COIN,True,False
2023-08-31,2026-02-01,CPIN,True,False
2023-08-31,2026-02-01,CTRA,True,False
2023-08-31,2026-02-01,CUAN,True,False
2023-08-31,2026-02-01,DEWA,True,False
2023-08-31,2026-02-01,DSNG,True,False
2023-08-31,2026-02-01,ELSA,True,False
2023-08-31,2026-02-01,EMAS,True,False
2023-08-31,2026-02-01,EMTK,True,False
2023-08-31,2026-02-01,ENRG,True,False
2023-08-31,2026-02-01,ERAA,True,False
2023-08-31,2026-02-01,ESSA,True,False
2023-08-31,2026-02-01,EXCL,True,False
2023-08-31,2026-02-01,GGRM,True,False
2023-08-31,2026-02-01,GOTO,True,False
2023-08-31,2026-02-01,HEAL,True,False
2023-08-31,2026-02-01,HRTA,True,False
